6,190,5
1,1,2,4
2,1,2,4
3,1,2,8
4,1,2,6
5,1,2,4
6,1,2,3
1,1,3,20
2,1,3,17
3,1,3,14
4,1,3,17
5,1,3,20
6,1,3,20
1,1,4,7
2,1,4,8
3,1,4,9
4,1,4,13
5,1,4,12
6,1,4,14
1,1,5,12
2,1,5,13
3,1,5,13
4,1,5,14
5,1,5,15
6,1,5,17
1,1,6,6
2,1,6,10
3,1,6,9
4,1,6,8
5,1,6,10
6,1,6,8
1,1,7,16
2,1,7,14
3,1,7,16
4,1,7,20
5,1,7,19
6,1,7,16
1,1,8,9
2,1,8,13
3,1,8,17
4,1,8,18
5,1,8,17
6,1,8,15
1,1,9,0
2,1,9,1
3,1,9,4
4,1,9,6
5,1,9,4
6,1,9,2
1,1,10,13
2,1,10,13
3,1,10,15
4,1,10,18
5,1,10,16
6,1,10,15
1,1,11,8
2,1,11,10
3,1,11,12
4,1,11,16
5,1,11,14
6,1,11,12
1,1,12,9
2,1,12,8
3,1,12,12
4,1,12,9
5,1,12,11
6,1,12,8
1,1,13,18
2,1,13,19
3,1,13,17
4,1,13,17
5,1,13,19
6,1,13,20
1,1,14,5
2,1,14,9
3,1,14,13
4,1,14,11
5,1,14,13
6,1,14,14
1,1,15,10
2,1,15,13
3,1,15,13
4,1,15,12
5,1,15,15
6,1,15,15
1,1,16,14
2,1,16,14
3,1,16,15
4,1,16,19
5,1,16,16
6,1,16,18
1,1,17,17
2,1,17,15
3,1,17,12
4,1,17,11
5,1,17,11
6,1,17,8
1,1,18,9
2,1,18,11
3,1,18,15
4,1,18,12
5,1,18,15
6,1,18,16
1,1,19,14
2,1,19,13
3,1,19,17
4,1,19,17
5,1,19,16
6,1,19,20
1,1,20,2
2,1,20,5
3,1,20,2
4,1,20,2
5,1,20,3
6,1,20,1
1,1,21,19
2,1,21,20
3,1,21,17
4,1,21,17
5,1,21,14
6,1,21,11
1,1,22,20
2,1,22,18
3,1,22,19
4,1,22,20
5,1,22,20
6,1,22,17
1,1,23,19
2,1,23,16
3,1,23,20
4,1,23,20
5,1,23,20
6,1,23,18
1,1,24,12
2,1,24,16
3,1,24,13
4,1,24,10
5,1,24,12
6,1,24,10
1,1,25,1
2,1,25,3
3,1,25,7
4,1,25,8
5,1,25,9
6,1,25,10
1,1,26,7
2,1,26,4
3,1,26,7
4,1,26,6
5,1,26,5
6,1,26,9
1,1,27,19
2,1,27,18
3,1,27,17
4,1,27,15
5,1,27,14
6,1,27,12
1,1,28,13
2,1,28,17
3,1,28,19
4,1,28,20
5,1,28,20
6,1,28,18
1,1,29,17
2,1,29,18
3,1,29,19
4,1,29,16
5,1,29,14
6,1,29,15
1,1,30,16
2,1,30,19
3,1,30,20
4,1,30,17
5,1,30,17
6,1,30,20
1,1,31,2
2,1,31,0
3,1,31,1
4,1,31,3
5,1,31,2
6,1,31,5
1,1,32,6
2,1,32,7
3,1,32,7
4,1,32,10
5,1,32,13
6,1,32,10
1,1,33,13
2,1,33,16
3,1,33,17
4,1,33,17
5,1,33,15
6,1,33,15
1,1,34,14
2,1,34,18
3,1,34,18
4,1,34,15
5,1,34,14
6,1,34,15
1,1,35,1
2,1,35,2
3,1,35,0
4,1,35,0
5,1,35,4
6,1,35,5
1,1,36,11
2,1,36,13
3,1,36,15
4,1,36,13
5,1,36,16
6,1,36,18
1,1,37,12
2,1,37,15
3,1,37,15
4,1,37,18
5,1,37,17
6,1,37,17
1,1,38,1
2,1,38,2
3,1,38,4
4,1,38,5
5,1,38,2
6,1,38,4
1,1,39,0
2,1,39,2
3,1,39,0
4,1,39,0
5,1,39,0
6,1,39,1
1,1,40,2
2,1,40,4
3,1,40,6
4,1,40,10
5,1,40,14
6,1,40,11
1,1,41,7
2,1,41,4
3,1,41,4
4,1,41,5
5,1,41,8
6,1,41,7
1,1,42,15
2,1,42,12
3,1,42,13
4,1,42,12
5,1,42,16
6,1,42,16
1,1,43,11
2,1,43,11
3,1,43,8
4,1,43,12
5,1,43,14
6,1,43,14
1,1,44,15
2,1,44,12
3,1,44,15
4,1,44,14
5,1,44,12
6,1,44,9
1,1,45,20
2,1,45,20
3,1,45,18
4,1,45,17
5,1,45,20
6,1,45,17
1,1,46,0
2,1,46,3
3,1,46,0
