6,220,5
1,1,2,3
2,1,2,0
3,1,2,2
4,1,2,1
5,1,2,1
6,1,2,1
1,1,3,5
2,1,3,5
3,1,3,4
4,1,3,2
5,1,3,1
6,1,3,3
1,1,4,8
2,1,4,9
3,1,4,6
4,1,4,5
5,1,4,5
6,1,4,4
1,1,5,3
2,1,5,0
3,1,5,2
4,1,5,0
5,1,5,1
6,1,5,2
1,1,6,5
2,1,6,6
3,1,6,6
4,1,6,6
5,1,6,8
6,1,6,5
1,1,7,11
2,1,7,9
3,1,7,10
4,1,7,8
5,1,7,10
6,1,7,7
1,1,8,4
2,1,8,6
3,1,8,3
4,1,8,5
5,1,8,5
6,1,8,2
1,1,9,1
2,1,9,1
3,1,9,2
4,1,9,1
5,1,9,2
6,1,9,0
1,1,10,9
2,1,10,6
3,1,10,3
4,1,10,0
5,1,10,0
6,1,10,1
1,1,11,8
2,1,11,5
3,1,11,8
4,1,11,5
5,1,11,3
6,1,11,5
1,1,12,11
2,1,12,9
3,1,12,7
4,1,12,7
5,1,12,4
6,1,12,3
1,1,13,7
2,1,13,4
3,1,13,1
4,1,13,3
5,1,13,4
6,1,13,4
1,1,14,5
2,1,14,2
3,1,14,2
4,1,14,0
5,1,14,0
6,1,14,0
1,1,15,2
2,1,15,1
3,1,15,0
4,1,15,0
5,1,15,0
6,1,15,2
1,1,16,3
2,1,16,0
3,1,16,2
4,1,16,1
5,1,16,1
6,1,16,3
1,1,17,12
2,1,17,13
3,1,17,10
4,1,17,9
5,1,17,7
6,1,17,8
1,1,18,10
2,1,18,9
3,1,18,8
4,1,18,5
5,1,18,2
6,1,18,5
1,1,19,7
2,1,19,7
3,1,19,5
4,1,19,5
5,1,19,8
6,1,19,7
1,1,20,1
2,1,20,2
3,1,20,0
4,1,20,0
5,1,20,1
6,1,20,1
1,1,21,7
2,1,21,4
3,1,21,1
4,1,21,3
5,1,21,1
6,1,21,1
1,1,22,1
2,1,22,0
3,1,22,2
4,1,22,3
5,1,22,2
6,1,22,4
1,1,23,7
2,1,23,7
3,1,23,7
4,1,23,4
5,1,23,4
6,1,23,7
1,1,24,4
2,1,24,2
3,1,24,3
4,1,24,0
5,1,24,3
6,1,24,1
1,1,25,14
2,1,25,15
3,1,25,14
4,1,25,12
5,1,25,11
6,1,25,9
1,1,26,2
2,1,26,1
3,1,26,3
4,1,26,4
5,1,26,1
6,1,26,1
1,1,27,10
2,1,27,8
3,1,27,10
4,1,27,8
5,1,27,5
6,1,27,3
1,1,28,3
2,1,28,0
3,1,28,1
4,1,28,1
5,1,28,0
6,1,28,1
1,1,29,9
2,1,29,8
3,1,29,5
4,1,29,8
