6,40,5
1,1,2,10
2,1,2,9
3,1,2,8
4,1,2,8
5,1,2,8
6,1,2,7
1,1,3,8
2,1,3,7
3,1,3,6
4,1,3,7
5,1,3,8
6,1,3,10
1,1,4,2
2,1,4,1
3,1,4,3
4,1,4,3
5,1,4,4
6,1,4,4
1,1,5,5
2,1,5,6
3,1,5,5
4,1,5,5
5,1,5,5
6,1,5,5
1,1,6,11
2,1,6,10
3,1,6,8
4,1,6,8
5,1,6,7
6,1,6,6
1,1,7,11
2,1,7,12
3,1,7,13
4,1,7,12
5,1,7,11
6,1,7,11
1,1,8,10
2,1,8,10
3,1,8,11
4,1,8,10
5,1,8,8
6,1,8,8
1,1,9,11
2,1,9,9
3,1,9,11
4,1,9,11
5,1,9,10
6,1,9,10
1,1,10,14
2,1,10,16
3,1,10,16
4,1,10,18
5,1,10,16
6,1,10,13
1,1,11,5
2,1,11,6
3,1,11,6
4,1,11,6
5,1,11,5
6,1,11,3
1,1,12,11
2,1,12,11
3,1,12,12
4,1,12,11
5,1,12,10
6,1,12,11
1,1,13,11
2,1,13,10
3,1,13,9
4,1,13,10
5,1,13,10
6,1,13,9
1,1,14,11
2,1,14,12
3,1,14,12
4,1,14,10
5,1,14,7
6,1,14,6
1,1,15,9
2,1,15,11
3,1,15,14
4,1,15,13
5,1,15,12
6,1,15,12
1,1,16,7
2,1,16,7
3,1,16,8
4,1,16,7
5,1,16,8
6,1,16,6
1,1,17,13
2,1,17,14
3,1,17,14
4,1,17,16
5,1,17,17
6,1,17,17
1,1,18,11
2,1,18,11
3,1,18,10
4,1,18,10
5,1,18,10
6,1,18,10
1,1,19,10
2,1,19,9
3,1,19,9
4,1,19,10
5,1,19,10
6,1,19,10
1,1,20,13
2,1,20,15
3,1,20,16
4,1,20,15
5,1,20,15
6,1,20,18
1,1,21,13
2,1,21,11
3,1,21,12
4,1,21,12
5,1,21,14
6,1,21,12
1,1,22,9
2,1,22,10
3,1,22,10
4,1,22,11
5,1,22,12
6,1,22,10
1,1,23,16
2,1,23,15
3,1,23,16
4,1,23,17
5,1,23,16
6,1,23,17
1,1,24,3
2,1,24,4
3,1,24,4
4,1,24,6
5,1,24,5
6,1,24,5
1,1,25,5
2,1,25,6
3,1,25,7
4,1,25,9
5,1,25,9
6,1,25,6
1,1,26,11
2,1,26,9
3,1,26,10
4,1,26,10
5,1,26,12
6,1,26,11
1,1,27,3
2,1,27,1
3,1,27,2
4,1,27,1
5,1,27,1
6,1,27,3
1,1,28,13
2,1,28,12
3,1,28,12
4,1,28,13
5,1,28,13
6,1,28,13
1,1,29,10
2,1,29,9
3,1,29,9
4,1,29,9
5,1,29,11
6,1,29,10
1,1,30,5
2,1,30,5
3,1,30,3
4,1,30,3
5,1,30,0
6,1,30,3
1,1,31,11
2,1,31,14
3,1,31,16
4,1,31,17
5,1,31,18
6,1,31,16
1,1,32,7
2,1,32,8
3,1,32,8
4,1,32,9
5,1,32,11
6,1,32,10
1,1,33,7
2,1,33,8
3,1,33,8
4,1,33,8
5,1,33,9
6,1,33,11
1,1,34,8
2,1,34,7
3,1,34,8
4,1,34,10
5,1,34,9
6,1,34,11
1,1,35,9
2,1,35,7
3,1,35,6
4,1,35,6
5,1,35,5
6,1,35,4
1,1,36,6
2,1,36,7
3,1,36,10
4,1,36,10
5,1,36,13
6,1,36,12
1,1,37,10
2,1,37,9
3,1,37,8
4,1,37,9
5,1,37,8
6,1,37,9
1,1,38,7
2,1,38,7
3,1,38,6
4,1,38,8
5,1,38,7
6,1,38,9
1,1,39,7
2,1,39,6
3,1,39,6
4,1,39,7
5,1,39,7
6,1,39,9
1,1,40,14
2,1,40,14
3,1,40,14
4,1,40,16
5,1,40,17
6,1,40,16
1,2,1,10
2,2,1,9
3,2,1,8
4,2,1,8
5,2,1,8
6,2,1,7
1,2,3,6
2,2,3,5
3,2,3,4
4,2,3,3
5,2,3,4
6,2,3,5
1,2,4,10
2,2,4,12
3,2,4,13
4,2,4,14
5,2,4,14
6,2,4,14
1,2,5,2
2,2,5,1
3,2,5,3
4,2,5,2
5,2,5,1
6,2,5,2
1,2,6,10
2,2,6,11
3,2,6,10
4,2,6,11
5,2,6,12
6,2,6,11
1,2,7,11
2,2,7,11
3,2,7,11
4,2,7,10
5,2,7,10
6,2,7,12
1,2,8,7
2,2,8,6
3,2,8,8
4,2,8,8
5,2,8,9
6,2,8,9
1,2,9,11
2,2,9,11
3,2,9,13
4,2,9,14
5,2,9,14
6,2,9,12
1,2,10,15
2,2,10,17
3,2,10,16
4,2,10,14
5,2,10,14
6,2,10,14
1,2,11,9
2,2,11,9
3,2,11,9
4,2,11,7
5,2,11,8
6,2,11,8
1,2,12,11
2,2,12,10
3,2,12,8
4,2,12,9
5,2,12,11
6,2,12,11
1,2,13,12
2,2,13,13
3,2,13,12
4,2,13,10
5,2,13,11
6,2,13,11
1,2,14,11
2,2,14,10
3,2,14,11
4,2,14,12
