12,100,5
1,1,1,1
1,1,2,1
1,1,3,2
1,1,4,3
1,1,5,4
1,1,6,5
1,1,7,5
1,1,8,2
1,1,9,4
1,1,10,1
1,1,11,0
1,1,12,3
1,1,13,2
1,1,14,3
1,1,15,0
1,1,16,1
1,1,17,0
1,1,18,4
1,1,19,1
1,1,20,0
1,1,21,2
1,1,22,4
1,1,23,5
1,1,24,1
1,1,25,5
1,1,26,4
1,1,27,1
1,1,28,2
1,1,29,1
1,1,30,2
1,1,31,0
1,1,32,3
1,1,33,2
1,1,34,3
1,1,35,0
1,1,36,5
1,1,37,5
1,1,38,2
1,1,39,1
1,1,40,1
1,1,41,1
1,1,42,4
1,1,43,5
1,1,44,1
1,1,45,3
1,1,46,0
1,1,47,1
1,1,48,5
1,1,49,5
1,1,50,3
1,1,51,0
1,1,52,1
1,1,53,2
1,1,54,3
1,1,55,3
1,1,56,3
1,1,57,2
1,1,58,4
1,1,59,5
1,1,60,3
1,1,61,4
1,1,62,5
1,1,63,2
1,1,64,5
1,1,65,2
1,1,66,2
1,1,67,1
1,1,68,0
1,1,69,2
1,1,70,5
1,1,71,4
1,1,72,5
1,1,73,4
1,1,74,0
1,1,75,2
1,1,76,2
1,1,77,3
1,1,78,3
1,1,79,2
1,1,80,2
1,1,81,3
1,1,82,5
1,1,83,4
1,1,84,0
1,1,85,1
1,1,86,0
1,1,87,5
1,1,88,3
1,1,89,1
1,1,90,5
1,1,91,2
1,1,92,4
1,1,93,4
1,1,94,3
1,1,95,1
1,1,96,0
1,1,97,3
1,1,98,3
1,1,99,5
1,1,100,1
1,2,1,3
1,2,2,1
1,2,3,3
1,2,4,3
1,2,5,2
1,2,6,2
1,2,7,4
1,2,8,5
1,2,9,4
1,2,10,3
1,2,11,3
1,2,12,0
1,2,13,4
1,2,14,2
1,2,15,4
1,2,16,2
1,2,17,1
1,2,18,4
1,2,19,0
1,2,20,2
1,2,21,4
1,2,22,4
1,2,23,2
1,2,24,1
1,2,25,5
1,2,26,1
1,2,27,4
1,2,28,5
1,2,29,1
1,2,30,0
1,2,31,4
1,2,32,1
1,2,33,0
1,2,34,5
1,2,35,5
1,2,36,1
1,2,37,4
1,2,38,3
1,2,39,3
1,2,40,5
1,2,41,5
1,2,42,4
1,2,43,3
1,2,44,5
1,2,45,2
1,2,46,5
1,2,47,1
1,2,48,4
1,2,49,0
1,2,50,2
1,2,51,1
1,2,52,1
