12,100,5
1,1,1,45
2,1,1,65
3,1,1,46
4,1,1,78
5,1,1,71
6,1,1,35
7,1,1,65
8,1,1,68
9,1,1,35
10,1,1,54
11,1,1,48
12,1,1,10
1,1,2,49
2,1,2,41
3,1,2,15
4,1,2,45
5,1,2,72
6,1,2,34
7,1,2,36
8,1,2,37
9,1,2,34
10,1,2,50
11,1,2,17
12,1,2,11
1,1,3,39
2,1,3,9
3,1,3,10
4,1,3,0
5,1,3,38
6,1,3,23
7,1,3,63
8,1,3,19
9,1,3,56
10,1,3,62
11,1,3,53
12,1,3,75
1,1,4,58
2,1,4,70
3,1,4,89
4,1,4,92
5,1,4,60
6,1,4,36
7,1,4,16
8,1,4,16
9,1,4,66
10,1,4,69
11,1,4,35
12,1,4,71
1,1,5,34
2,1,5,27
3,1,5,55
4,1,5,65
5,1,5,38
6,1,5,10
7,1,5,42
8,1,5,39
9,1,5,60
10,1,5,74
11,1,5,97
12,1,5,92
1,1,6,54
2,1,6,8
3,1,6,14
4,1,6,19
5,1,6,40
6,1,6,59
7,1,6,17
8,1,6,11
9,1,6,23
10,1,6,40
11,1,6,67
12,1,6,26
1,1,7,54
2,1,7,17
3,1,7,41
4,1,7,23
5,1,7,64
6,1,7,23
7,1,7,57
8,1,7,90
9,1,7,47
10,1,7,31
11,1,7,54
12,1,7,93
1,1,8,4
2,1,8,22
3,1,8,58
4,1,8,80
5,1,8,43
6,1,8,68
7,1,8,22
8,1,8,8
9,1,8,26
10,1,8,50
11,1,8,35
12,1,8,36
1,1,9,58
2,1,9,31
3,1,9,71
4,1,9,27
5,1,9,71
6,1,9,78
7,1,9,77
8,1,9,32
9,1,9,24
10,1,9,68
11,1,9,30
12,1,9,50
1,1,10,0
2,1,10,6
3,1,10,10
4,1,10,23
5,1,10,48
6,1,10,36
7,1,10,35
8,1,10,1
9,1,10,17
10,1,10,6
11,1,10,47
12,1,10,32
1,1,11,27
2,1,11,58
3,1,11,48
4,1,11,86
5,1,11,51
6,1,11,88
7,1,11,49
8,1,11,58
9,1,11,16
10,1,11,60
11,1,11,61
12,1,11,98
1,1,12,32
2,1,12,8
3,1,12,23
4,1,12,42
5,1,12,16
6,1,12,45
7,1,12,64
8,1,12,48
9,1,12,64
10,1,12,28
11,1,12,50
12,1,12,98
1,1,13,32
2,1,13,56
3,1,13,14
4,1,13,39
5,1,13,50
6,1,13,67
7,1,13,55
8,1,13,93
9,1,13,84
10,1,13,72
11,1,13,59
12,1,13,70
1,1,14,43
2,1,14,92
3,1,14,44
4,1,14,86
5,1,14,46
6,1,14,72
7,1,14,84
8,1,14,75
9,1,14,50
10,1,14,49
11,1,14,48
12,1,14,76
1,1,15,100
2,1,15,63
3,1,15,36
4,1,15,73
5,1,15,78
6,1,15,79
7,1,15,92
8,1,15,90
9,1,15,48
10,1,15,40
11,1,15,82
12,1,15,35
1,1,16,59
2,1,16,98
3,1,16,50
4,1,16,98
5,1,16,62
6,1,16,13
7,1,16,42
8,1,16,80
9,1,16,57
10,1,16,21
11,1,16,59
12,1,16,47
1,1,17,42
2,1,17,88
3,1,17,67
4,1,17,42
5,1,17,81
6,1,17,77
7,1,17,70
8,1,17,42
9,1,17,64
10,1,17,40
11,1,17,52
12,1,17,72
1,1,18,35
2,1,18,82
3,1,18,85
4,1,18,49
5,1,18,94
6,1,18,79
7,1,18,70
8,1,18,79
9,1,18,97
10,1,18,78
